"FUNDING-SPONSORS","Count"
"Consejo Nacional de Ciencia y Tecnología","2"
"Danmarks Grundforskningsfond","2"
"Defense Advanced Research Projects Agency","2"
"Department of Electrical Engineering, Chulalongkorn University","2"
"Directorate for Mathematical and Physical Sciences","2"
"European Research Council","2"
"Fondazione di Sardegna","2"
"Fondo Nacional de Desarrollo Científico y Tecnológico","2"
"Fonds De La Recherche Scientifique - FNRS","2"
"Fonds Québécois de la Recherche sur la Nature et les Technologies","2"
"Fundação de Amparo à Pesquisa do Estado de Minas Gerais","2"
"Fundação para a Ciência e a Tecnologia","2"
"Innovationsfonden","2"
"Instituto Nacional de Energia Elétrica","2"
"Korea Electric Power Corporation","2"
"Major Science and Technology Project of Hainan Province","2"
"Ministerio de Ciencia, Innovación y Universidades","2"
"Ministry of Education","2"
"Ministry of Education and Human Resources Development","2"
"Ministry of Higher Education, Malaysia","2"
"National Aeronautics and Space Administration","2"
"National High-tech Research and Development Program","2"
"National Human Genome Research Institute","2"
"National IT Industry Promotion Agency","2"
"National Institute on Deafness and Other Communication Disorders","2"
"National Research Foundation","2"
"Natural Science Foundation of Liaoning Province","2"
"Natural Science Foundation of Shaanxi Province","2"
"Natural Science Foundation of Shandong Province","2"
"Nokia Foundation","2"
"Office of Energy Efficiency and Renewable Energy","2"
"Power Systems Engineering Research Center","2"
"Sandia National Laboratories","2"
"Science and Technology Program of Hunan Province","2"
"Science and Technology Project of State Grid","2"
"Scientific Research Foundation of the Graduate School of Southeast University","2"
"Semiconductor Research Corporation","2"
"Solar Energy Technologies Office","2"
"Southeast University","2"
"Special Foundation for the Development of Strategic Emerging Industries of Shenzhen","2"
"Tekes","2"
"Vetenskapsrådet","2"
"Agence de la transition écologique","1"
"Agencia Nacional de Promoción Científica y Tecnológica","1"
"Agenzia Spaziale Italiana","1"
"Agència de Gestió d'Ajuts Universitaris i de Recerca","1"
"Agência Nacional de Energia Elétrica","1"
"Alberta Innovates","1"
"Alexander von Humboldt-Stiftung","1"
"Alfred P. Sloan Foundation","1"
"All India Council for Technical Education","1"
"Anhui Provincial Key Research and Development Plan","1"
"Antares Pharma","1"
"Assistance publique-Hôpitaux de Paris","1"
"Association of Research Libraries","1"
"Australian Government","1"
"Australian Institute of Sport","1"
"Australian Sports Commission","1"
"Austrian Science Fund","1"
"Bayerische Forschungsstiftung","1"
"Beijing Municipal Science and Technology Commission","1"
"Beijing Nova Program","1"
"Ben-Gurion University of the Negev","1"
"Bilimsel Araştırma Projeleri Birimi, İstanbul Teknik Üniversitesi","1"
"Biotechnology and Biological Sciences Research Council","1"
"Blanche Moore Foundation","1"
"Brookhaven National Laboratory","1"
"Bundesministerium für Wirtschaft und Technologie","1"
"California State University Long Beach","1"
"Canada Foundation for Innovation","1"
"Canada Research Chairs","1"
"Cardiff University","1"
"Center for Evolutionary and Theoretical Immunology","1"
"Center for Robotics and Industrial Automation, Universiti Teknikal Malaysia Melaka","1"
"Center for Social Inclusion","1"
"Central Power Research Institute","1"
"Central South University","1"
"Centre National de la Recherche Scientifique","1"
"Centre for Integrated Computer Systems Research","1"
"China Academy of Space Technology","1"
"China National Funds for Distinguished Young Scientists","1"
"China Postdoctoral Science Foundation","1"
"China Southern Power Grid","1"
"China University of Geosciences, Wuhan","1"
"Chongqing Municipal Education Commission","1"
"Chulalongkorn University","1"
"Chung-Ang University","1"
"Colorado Power Electronics Center, University of Colorado Boulder","1"
"Conseil National de la Recherche Scientifique","1"
"Core Research for Evolutional Science and Technology","1"
"Council for Higher Education","1"
"Council of Scientific and Industrial Research, India","1"
"Cyrus Tang Foundation","1"
"Czech Science Foundation","1"
"Daegu Gyeongbuk Institute of Science and Technology","1"
"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)","1"
"Department of Education and Training","1"
"Department of Science and Technology","1"
